批量导入报告 - 2026-04-25 16:13:42
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\Al-Zn-Mg
产品名称: Al-Zn-Mg 合金
文档类型: paper
============================================================

总计: 161 | 成功: 161 | 失败: 0

成功文件:
  ✅ 1-s2.0-S1526612520308811-main.pdf: 成功, document_id: 01d38fdd-6aa7-46
  ✅ 1-s2.0-S1526612522004480-main.pdf: 成功, document_id: b4a7f5d7-4de1-46
  ✅ 1-s2.0-S1526612524006157-main.pdf: 成功, document_id: cfd13065-ac65-4d
  ✅ 1-s2.0-S2214785321057461-main.pdf: 成功, document_id: 803bd14d-6481-4a
  ✅ 1-s2.0-S2214860420308198-main.pdf: 成功, document_id: b3c1c608-1fd8-47
  ✅ 1-s2.0-S2238785419310749-main.pdf: 成功, document_id: 6feeac49-fd4b-48
  ✅ 1-s2.0-S223878542031838X-main.pdf: 成功, document_id: d9b5e0e7-3a5d-43
  ✅ 1-s2.0-S2238785420319918-main.pdf: 成功, document_id: 65702c12-d077-48
  ✅ 1-s2.0-S2238785421015180-main.pdf: 成功, document_id: b6d99548-33e1-43
  ✅ 1-s2.0-S2238785422004756-main.pdf: 成功, document_id: 568659cb-883d-4a
  ✅ 1-s2.0-S2238785422009206-main.pdf: 成功, document_id: 5cbb6304-d270-41
  ✅ 1-s2.0-S2238785422013266-main.pdf: 成功, document_id: 18bc5f24-22d7-40
  ✅ 1-s2.0-S2238785422018117-main.pdf: 成功, document_id: 556f82ae-13c2-4e
  ✅ 1-s2.0-S2238785422020221-main.pdf: 成功, document_id: 4d793dbe-0386-40
  ✅ 1-s2.0-S2238785423017155-main.pdf: 成功, document_id: 1e6207f1-09cf-4b
  ✅ 1-s2.0-S2238785423019506-main.pdf: 成功, document_id: 1016008a-2865-46
  ✅ 1-s2.0-S2238785424008172-main.pdf: 成功, document_id: d2c3b27a-11f9-4d
  ✅ 1-s2.0-S2238785424009086-main.pdf: 成功, document_id: 3afc6dca-de65-41
  ✅ 1-s2.0-S2238785424021227-main.pdf: 成功, document_id: 5e41a279-f8b7-42
  ✅ 1-s2.0-S2238785424025079-main.pdf: 成功, document_id: 6a65f244-dd46-48
  ✅ Adv Eng Mater - 2018 - Li - Effects of Heat Treatment on Microstructure and Mechanical Properties of an ECAPed Al Zn Mg Cu.pdf: 成功, document_id: f73cba76-7d38-42
  ✅ Adv Eng Mater - 2019 - Zhang - Hall Petch Relationship in Electrically Pulsed Al Zn Mg Alloys.pdf: 成功, document_id: a80ee131-3a57-4c
