批量导入报告 - 2026-05-08 23:06:05
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw
产品名称: 自动从文件名提取
文档类型: paper
============================================================

总计: 909 | 成功: 909 | 失败: 0

成功文件:
  ✅ s11665-020-04980-x.pdf: 成功, document_id: faaebff1-9e20-4c
  ✅ s11665-021-05856-4.pdf: 成功, document_id: 1b048e8e-8098-46
  ✅ s11665-021-06298-8.pdf: 成功, document_id: db9ccd45-cdb1-42
  ✅ s11665-022-07052-4.pdf: 成功, document_id: c9323d81-becf-4b
  ✅ s11665-023-08046-6.pdf: 成功, document_id: dc34f874-91e6-49
  ✅ s11665-023-08411-5.pdf: 成功, document_id: e96547c7-b1c5-4e
  ✅ s11837-018-3170-z.pdf: 成功, document_id: daeae257-0e01-4f
  ✅ s12540-018-0057-z.pdf: 成功, document_id: dd931f82-4fd3-4b
  ✅ s12540-020-00730-9.pdf: 成功, document_id: 3aef262c-8e9b-46
  ✅ s12666-020-01995-9.pdf: 成功, document_id: 12cddd79-a79f-47
  ✅ s12666-021-02351-1.pdf: 成功, document_id: 62fbe831-c257-42
  ✅ s13369-021-06531-5.pdf: 成功, document_id: e75fdc25-84a1-43
  ✅ s13632-022-00834-1.pdf: 成功, document_id: b2d8aeb8-b4fc-42
  ✅ s40033-021-00326-6.pdf: 成功, document_id: 4cb19ee8-09c0-44
  ✅ s40195-016-0510-2 (1).pdf: 成功, document_id: a70c35b0-c98a-4c
  ✅ s40195-016-0510-2.pdf: 成功, document_id: 051c406d-e1da-48
  ✅ s40195-022-01373-y (1).pdf: 成功, document_id: 93864256-81a4-49
  ✅ s40195-022-01373-y.pdf: 成功, document_id: 8a5c34bc-84e6-45
  ✅ sciadv.adf7426.pdf: 成功, document_id: 6d61c65f-9d91-4b
  ✅ 085126_1_online.pdf: 成功, document_id: 8ffa70b0-9464-4e
  ✅ 1-s2.0-S0042207X2300427X-main.pdf: 成功, document_id: a9a656be-24ec-4c
  ✅ 1-s2.0-S0042207X23006061-main.pdf: 成功, document_id: 0efe0f2e-35cc-46
  ✅ 1-s2.0-S0042207X25003264-main.pdf: 成功, document_id: 350edc07-27d3-49
  ✅ 1-s2.0-S0167577X18302192-main.pdf: 成功, document_id: 75ff7ae6-badc-41
  ✅ 1-s2.0-S0167577X21001919-main.pdf: 成功, document_id: 19d765f9-abac-4c
  ✅ 1-s2.0-S0167577X22013659-main.pdf: 成功, document_id: dd834dca-df0d-49
  ✅ 1-s2.0-S0254058416302978-main.pdf: 成功, document_id: 4173a31c-c567-4f
  ✅ 1-s2.0-S0264127519304228-main.pdf: 成功, document_id: d03633d3-589c-47
  ✅ 1-s2.0-S0264127525009967-main.pdf: 成功, document_id: 707f270f-866c-45
  ✅ 1-s2.0-S0364591618302116-main.pdf: 成功, document_id: 4fa22dcf-b0f5-49
  ✅ 1-s2.0-S0921509316306153-main.pdf: 成功, document_id: 91b669fe-405a-4f
  ✅ 1-s2.0-S0921509316306906-main.pdf: 成功, document_id: 939fd9d3-5a76-46
  ✅ 1-s2.0-S0921509316313739-main.pdf: 成功, document_id: 06351312-2244-42
  ✅ 1-s2.0-S0921509316314836-main.pdf: 成功, document_id: 5913a42b-365a-45
  ✅ 1-s2.0-S0921509317302666-main.pdf: 成功, document_id: 30fdc59c-7c1c-47
  ✅ 1-s2.0-S0921509317303490-main.pdf: 成功, document_id: 6e681662-02ac-4a
  ✅ 1-s2.0-S0921509317304422-main.pdf: 成功, document_id: 344f6863-6a6d-46
  ✅ 1-s2.0-S0921509318302004-main.pdf: 成功, document_id: b3beb012-dd69-4d
  ✅ 1-s2.0-S0921509318304854-main.pdf: 成功, document_id: d221d457-1bb4-41
  ✅ 1-s2.0-S092150931930512X-main.pdf: 成功, document_id: 4d1f54ba-1b01-49
  ✅ 1-s2.0-S0921509319307610-main.pdf: 成功, document_id: 313e52c4-1368-42
  ✅ 1-s2.0-S0921509319308007-main.pdf: 成功, document_id: fdbdb991-82cc-43
  ✅ 1-s2.0-S0921509320300204-main.pdf: 成功, document_id: d225ee46-9052-45
  ✅ 1-s2.0-S0921509320300241-main.pdf: 成功, document_id: af7d02ae-e2c1-4c
  ✅ 1-s2.0-S0921509320302318-main.pdf: 成功, document_id: 8f58914b-093f-43
  ✅ 1-s2.0-S0921509320315719-main.pdf: 成功, document_id: beeab9e1-f32b-42
  ✅ 1-s2.0-S092150932100589X-main.pdf: 成功, document_id: bc7b424b-6fa7-49
  ✅ 1-s2.0-S0921509322006864-main.pdf: 成功, document_id: cb7942db-eb2c-4c
  ✅ 1-s2.0-S0921509322013818-main.pdf: 成功, document_id: f1f6e94b-cb85-49
  ✅ 1-s2.0-S0921509323001806-main.pdf: 成功, document_id: 153b36d9-1281-47
  ✅ 1-s2.0-S0921509323007463-main.pdf: 成功, document_id: 8ae41dbd-35f8-41
  ✅ 1-s2.0-S092583881531402X-main.pdf: 成功, document_id: bec6a7b7-d209-4b
  ✅ 1-s2.0-S0925838816324239-main.pdf: 成功, document_id: 8315e102-0114-45
  ✅ 1-s2.0-S0925838816333989-main.pdf: 成功, document_id: 70f58503-36df-4e
  ✅ 1-s2.0-S0925838817332413-main.pdf: 成功, document_id: 06647205-7e95-45
  ✅ 1-s2.0-S0925838817339002-main.pdf: 成功, document_id: 1ec01885-9d50-45
  ✅ 1-s2.0-S0925838818333292-main.pdf: 成功, document_id: 667b41d3-970e-40
  ✅ 1-s2.0-S0925838818338416-main.pdf: 成功, document_id: d081c30f-1fe2-47
  ✅ 1-s2.0-S0925838819343683-main.pdf: 成功, document_id: 5481a3ec-e2b5-48
  ✅ 1-s2.0-S0925838820320466-main.pdf: 成功, document_id: d8007fc0-e916-4d
  ✅ 1-s2.0-S092583882032569X-main.pdf: 成功, document_id: 6a079ceb-03a8-47
  ✅ 1-s2.0-S0925838823042524-main.pdf: 成功, document_id: c3293bc4-5192-45
  ✅ 1-s2.0-S0925838824025623-main.pdf: 成功, document_id: e2fc0d16-054b-43
  ✅ 1-s2.0-S0925838824044992-main.pdf: 成功, document_id: c20f44a7-9ecd-42
  ✅ 1-s2.0-S0925838825060815-main.pdf: 成功, document_id: 540267c4-7375-42
  ✅ 1-s2.0-S0927025620304638-main.pdf: 成功, document_id: 733ec116-a3fd-46
  ✅ 1-s2.0-S0928493116303071-main.pdf: 成功, document_id: 0963b24b-b3f7-46
  ✅ 1-s2.0-S096697952100087X-main.pdf: 成功, document_id: 3984d719-ecad-42
  ✅ 1-s2.0-S1002007117304628-main.pdf: 成功, document_id: e995d331-aaea-4c
  ✅ 1-s2.0-S1002007119300383-main.pdf: 成功, document_id: 1a847e37-7591-42
  ✅ 1-s2.0-S1002007121000654-main.pdf: 成功, document_id: fda4dbe8-a765-4e
  ✅ 1-s2.0-S100207211660145X-main.pdf: 成功, document_id: f63708d0-5b6e-40
  ✅ 1-s2.0-S1002072124003041-main.pdf: 成功, document_id: 40465491-da6b-47
  ✅ 1-s2.0-S1003632616642310-main.pdf: 成功, document_id: 58c2aa94-81f4-4c
  ✅ 1-s2.0-S1003632621656297-main.pdf: 成功, document_id: 6a5670cc-dd70-46
  ✅ 1-s2.0-S1003632621657576-main.pdf: 成功, document_id: 626e89bd-f6e0-41
  ✅ 1-s2.0-S1003632622658357-main.pdf: 成功, document_id: 226e4941-fc1c-4e
  ✅ 1-s2.0-S1003632622658369-main.pdf: 成功, document_id: 5390e04d-0f1b-4d
  ✅ 1-s2.0-S1003632622659144-main.pdf: 成功, document_id: 9bb648d6-a4bb-4a
  ✅ 1-s2.0-S1003632622661168-main.pdf: 成功, document_id: 4e30e6ad-1408-41
  ✅ 1-s2.0-S1003632623663794-main.pdf: 成功, document_id: 674d0d60-9af3-4e
  ✅ 1-s2.0-S1005030216302109-main.pdf: 成功, document_id: c16ea065-1d18-42
  ✅ 1-s2.0-S1005030217301184-main.pdf: 成功, document_id: 4e2ce27d-f63d-40
  ✅ 1-s2.0-S1005030219300301-main.pdf: 成功, document_id: aff399de-8c70-42
  ✅ 1-s2.0-S1005030220303194-main.pdf: 成功, document_id: 1b77b5ae-9d26-46
  ✅ 1-s2.0-S1005030220305375-main.pdf: 成功, document_id: dd9c21f7-ae3f-4d
  ✅ 1-s2.0-S1005030223002736-main.pdf: 成功, document_id: 4ff7198c-06ed-40
  ✅ 1-s2.0-S1005030225008497-main.pdf: 成功, document_id: 7d7bc2f2-7912-45
  ✅ 1-s2.0-S1044580318316383-main.pdf: 成功, document_id: 67532f0a-f9e4-4f
  ✅ 1-s2.0-S1044580319319606-main.pdf: 成功, document_id: e5819a54-0ed0-4e
  ✅ 1-s2.0-S1044580319327408-main.pdf: 成功, document_id: 5cbd66bb-611a-4a
  ✅ 1-s2.0-S1044580322007100-main.pdf: 成功, document_id: ee1df678-34e2-4f
  ✅ 1-s2.0-S104458032300387X-main.pdf: 成功, document_id: 83f98b30-79bd-48
  ✅ 1-s2.0-S1751616116301114-main.pdf: 成功, document_id: c1a45d46-4081-42
  ✅ 1-s2.0-S2211379719304814-main.pdf: 成功, document_id: fb17bc78-2563-42
  ✅ 1-s2.0-S2213956718300689-main.pdf: 成功, document_id: 46789416-f877-43
  ✅ 1-s2.0-S2213956719300246-main.pdf: 成功, document_id: 4ac508f2-5b54-44
  ✅ 1-s2.0-S2213956722000809-main.pdf: 成功, document_id: efbd9bad-b590-4b
  ✅ 1-s2.0-S2238785418303624-main.pdf: 成功, document_id: c3cc1c0d-0702-40
  ✅ 1-s2.0-S2238785420314307-main.pdf: 成功, document_id: 7c214372-1ea2-48
  ✅ 1-s2.0-S223878542100867X-main.pdf: 成功, document_id: 1f45385f-e51c-4d
  ✅ 1-s2.0-S223878542300529X-main.pdf: 成功, document_id: 7b53b82f-92e5-43
  ✅ 1-s2.0-S2238785423014424-main.pdf: 成功, document_id: 8553eec8-66bb-49
  ✅ 1-s2.0-S2238785423030545-main.pdf: 成功, document_id: 17a847ef-7537-46
  ✅ 1-s2.0-S2238785424001558-main.pdf: 成功, document_id: 7d3e8e04-4ca5-49
  ✅ 1-s2.0-S2238785424017915-main.pdf: 成功, document_id: 7f671554-3ca5-40
  ✅ 1-s2.0-S2238785425027942-main.pdf: 成功, document_id: 9b406d68-6bb0-44
  ✅ 1-s2.0-S2352492820325666-main.pdf: 成功, document_id: e08768e4-b7e8-45
  ✅ 1-s2.0-S2352492822004056-main.pdf: 成功, document_id: b3161041-100b-40
  ✅ 1-s2.0-S2352492822005293-main.pdf: 成功, document_id: b9e8d8c3-2f3a-4d
  ✅ 1-s2.0-S2352492824012066-main.pdf: 成功, document_id: eb45ee99-ea3f-47
  ✅ 1-s2.0-S2352492824027740-main.pdf: 成功, document_id: 0858cf7b-6bdb-40
  ✅ 1-s2.0-S2589234724001416-main.pdf: 成功, document_id: 2829e6c5-8b34-46
  ✅ Bao_2021_Mater._Res._Express_8_096501 (1).pdf: 成功, document_id: f790bdd1-36ba-47
  ✅ Bao_2021_Mater._Res._Express_8_096501.pdf: 成功, document_id: 18063f60-a8c9-48
  ✅ fmats-08-778833.pdf: 成功, document_id: 991faa33-b1e2-48
  ✅ Lu_2020_Mater._Res._Express_7_076520.pdf: 成功, document_id: 0be84040-f927-4f
  ✅ Ma_2021_Mater._Res._Express_8_066507.pdf: 成功, document_id: c6b6b188-bdb9-46
  ✅ main (1).pdf: 成功, document_id: ab3c30f0-cbb0-46
  ✅ main.pdf: 成功, document_id: b2b4e66d-35be-49
  ✅ materials-09-00902.pdf: 成功, document_id: 4a3a4743-e28c-40
  ✅ materials-11-01424.pdf: 成功, document_id: 6e244174-7707-43
  ✅ materials-12-01775.pdf: 成功, document_id: d5f12f94-259a-43
  ✅ materials-13-03591 (1).pdf: 成功, document_id: 7528d05f-0ada-4b
  ✅ materials-13-03591.pdf: 成功, document_id: 3ecdae56-a199-4f
  ✅ materials-14-00083.pdf: 成功, document_id: 0ac5eaa9-7ec4-4c
  ✅ materials-16-00109.pdf: 成功, document_id: 23b53941-9d14-48
  ✅ metals-07-00164.pdf: 成功, document_id: bc7f93c2-6d5d-41
  ✅ metals-09-00327-v2.pdf: 成功, document_id: a54fb996-40f1-46
  ✅ metals-11-02021.pdf: 成功, document_id: 76c90ffc-3463-41
  ✅ metals-12-00039-v2.pdf: 成功, document_id: 08809d68-c88e-40
  ✅ metals-12-00375-v2.pdf: 成功, document_id: b0b83d10-e867-4b
  ✅ Microstructure and mechanical properties of pure Mg after spiral equal-channel extrusion.pdf: 成功, document_id: 72af396d-4c46-46
  ✅ s10856-018-6093-x (1).pdf: 成功, document_id: c3c254c2-1e43-49
  ✅ s10856-018-6093-x.pdf: 成功, document_id: 932586b1-9b98-4f
  ✅ s11665-018-3195-z.pdf: 成功, document_id: 741aa5d2-124d-47
  ✅ s11665-018-3356-0.pdf: 成功, document_id: c97bd305-84b8-41
  ✅ s11665-018-3433-4.pdf: 成功, document_id: bd87bc9b-4322-43
  ✅ s11665-019-04151-7.pdf: 成功, document_id: 154a4999-eced-4d
  ✅ s11665-020-04856-0.pdf: 成功, document_id: f2f617bb-43ea-42
  ✅ s11665-020-05212-y.pdf: 成功, document_id: 8fa06fce-102f-4f
  ✅ s11665-022-07373-4.pdf: 成功, document_id: e8fd222e-c762-4a
  ✅ s12289-020-01589-2.pdf: 成功, document_id: 27971c4c-8f43-49
  ✅ s12540-019-00477-y.pdf: 成功, document_id: d05043e7-294e-45
  ✅ s12540-019-00528-4.pdf: 成功, document_id: bef55d24-6f7b-4a
  ✅ s12540-020-00919-y.pdf: 成功, document_id: 51243282-32c1-4c
  ✅ s12540-021-01001-x.pdf: 成功, document_id: 890924b6-5afa-46
