批量导入报告 - 2026-05-07 18:24:32
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\new
产品名称: 新合金论文
文档类型: paper
============================================================

总计: 530 | 成功: 530 | 失败: 0

成功文件:
  ✅ metals-16-00246.pdf: 成功, document_id: 6a81add3-8b6c-47
  ✅ Progress in dispersoids distribution precipitating during homogenising Zr-containing Al Cu Li and Al Zn Mg alloys.pdf: 成功, document_id: 10867984-dc91-49
  ✅ Pruthvi_2022_IOP_Conf._Ser.__Mater._Sci._Eng._1258_012043.pdf: 成功, document_id: 709846b7-d398-45
  ✅ s00170-023-11469-z.pdf: 成功, document_id: 48d2f80c-5280-4a
  ✅ s00170-025-16833-9.pdf: 成功, document_id: b9353e2d-97e5-46
  ✅ s10853-008-2773-0.pdf: 成功, document_id: 08babd73-94aa-49
  ✅ s10853-017-1873-0.pdf: 成功, document_id: 7566e19a-78a4-4b
  ✅ s10853-020-05438-0.pdf: 成功, document_id: c43eb15b-9c7c-4a
  ✅ s10853-021-06692-6.pdf: 成功, document_id: df1d2e0f-adcd-43
  ✅ s10973-018-7856-9.pdf: 成功, document_id: d7354832-6521-44
  ✅ s11661-014-2567-8.pdf: 成功, document_id: 83dbf748-2959-47
  ✅ s11661-016-3484-9.pdf: 成功, document_id: def1a165-9b5a-42
  ✅ s11661-018-4832-8.pdf: 成功, document_id: f01f7b2e-dc67-4c
  ✅ s11661-019-05368-w.pdf: 成功, document_id: 09db14fb-5122-4f
  ✅ s11661-020-05768-3.pdf: 成功, document_id: 1ee20e9f-c2e2-42
  ✅ s11661-026-08180-5.pdf: 成功, document_id: 1d565bd3-a788-4c
  ✅ s11665-010-9638-9.pdf: 成功, document_id: c47eb9ef-3570-44
  ✅ s11665-015-1559-1.pdf: 成功, document_id: f00ccd2e-52f3-4b
  ✅ s11665-016-1924-8.pdf: 成功, document_id: 22d391ae-f753-47
  ✅ s11665-018-3691-1.pdf: 成功, document_id: 9b09491f-3e89-4b
  ✅ s11665-019-03888-5.pdf: 成功, document_id: 28a3640a-00bc-47
  ✅ s11665-019-04084-1.pdf: 成功, document_id: 50a13556-f6cf-48
  ✅ s11665-019-3877-1.pdf: 成功, document_id: d32f30f6-981d-4e
  ✅ s11665-020-04980-x.pdf: 成功, document_id: 56ec174e-a03d-46
  ✅ s11665-021-05856-4.pdf: 成功, document_id: ef4843f7-a834-45
  ✅ s11665-021-06298-8.pdf: 成功, document_id: 7b33aefd-b918-44
  ✅ s11665-022-07052-4.pdf: 成功, document_id: 68663f72-fdc6-49
